name,price,url,warning_text,img_src
A Light in the Attic,£51.77,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg
The Black Maria,£52.15,http://books.toscrape.com/catalogue/the-black-maria_991/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg
Olio,£23.88,http://books.toscrape.com/catalogue/olio_984/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg
Shakespeare's Sonnets,£20.66,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg
Rip it Up and Start Again,£35.02,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg
Set Me Free,£17.46,http://books.toscrape.com/catalogue/set-me-free_988/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg
The Dirty Little Secrets of Getting Your Dream Job,£33.34,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg
The Requiem Red,£22.65,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html, This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,../../media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg
