Brand,Product Title,Product Link,MRP,Selling Price,Number of Rating,Star Rating,description,Link of the Images,Number of Images,List of comments,Seller Name
x2o,Boys Pack of 3 Yellow & Grey Typography Printed Outdoor Shorts,http://myntra.com//shorts/x2o/x2o-boys-pack-of-3-lion-king-outdoor-shorts/24370298/buy,2299,551,24,4.2,"Product Details  Yellow, grey & brown typography printed mid-rise outdoor regular shorts, has 2 pockets, drawstring closure Size & Fit Regular Fit  Material & Care Loppknit cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Typography Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17766914/2022/4/9/c6e27e53-6bdf-414a-89f4-35f07aa90ede1649487511828-x2o-Boys-Yellow-Printed-Outdoor-Shorts-4921649487511740-11.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17766914/2022/4/5/4dd66c54-914e-4d76-8942-1f1eb6d55e221649176004757x2oBoysYellowPrintedOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17766914/2022/4/5/24dc0faa-4f91-4c24-aab1-f378de93cab21649176004733x2oBoysYellowPrintedOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17766914/2022/4/5/778533cf-55ad-4530-a25e-5d63da9134e81649176004721x2oBoysYellowPrintedOutdoorShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17766914/2022/4/5/46408b6d-d77a-4811-9be3-94d023acbb3c1649176004745x2oBoysYellowPrintedOutdoorShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17766914/2022/4/5/b1e9b3c7-a9bb-4c7c-8cb5-0609c5c3175a1649176004769x2oBoysYellowPrintedOutdoorShorts6.jpg']",6,"[""I don't normally do reviews but this is an exceptional circumstance. Nickers are beautiful bright in colour and major options are available. I purchased this for my son and now he is in love with yellow colour. Good Quality and it was a great in my son case.\n\nRegards\nBiren Rajput"", 'Every child should  has three of them, bestest shorts for summers ...just close your eyes and order trust me it will bring a smile on All mommies face...too gud']",Plutus creations
BAESD,Boys Pack Of 3 Geometric Printed Pure Cotton Shorts,http://myntra.com//shorts/bumzee/bumzee-infant-boys-pack-of-3-conversational-printed-mid-rise-cotton-shorts/23567184/buy,999,279,187,4.1,"Product Details  pack of 3 Yellow, navy blue & grey geometric printed mid-rise regular shorts, has slip-on closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Geometric Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24538010/2023/8/18/a5541a23-6700-4cce-b745-5dc544e148ca1692346268947BAESDBoysYellowPrintedOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24538010/2023/8/18/04002d83-e705-4af1-bfae-7c0c1ed716181692346268985BAESDBoysYellowPrintedOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24538010/2023/8/18/89ec8294-f93e-4e13-8c0a-afb2ce3d974e1692346268931BAESDBoysYellowPrintedOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24538010/2023/8/18/f094cb82-9d0e-4afd-b33a-2b76ffc427651692346268965BAESDBoysYellowPrintedOutdoorShorts4.jpg']",4,"['Looks good and comfortable but size should have been little bigger for the ones I ordered', 'Good quality affordable price', 'Quality is very good']",FASLA PRODUCTS PRIVATE LIMITED
HERE&NOW,Boys Pack Of 4 Typography Printed Cotton Sports Shorts,http://myntra.com//shorts/baesd/baesd-boys-pack-of-5-mid-rise-cotton-shorts/27046540/buy,2065,454,5,4.2,"Product Details  Black, green, red & blue typography printed mid-rise sports shorts, has slip-on closure Material & Care Cotton Machine Wash Do not bleach Do not Iron on print/embroidery/embellishment,Wash with like colors Specifications Waist Rise Mid-Rise Length Knee Length Type Sports Shorts Closure Slip-On Print or Pattern Type Typography Fit Regular Fit Occasion Sports Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28537996/2024/3/27/c23892c5-46a7-49ac-b33c-7a17635de30c1711541321100HERENOWBoysPrintedSportsShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28537996/2024/3/27/71e77ade-eddc-4379-9e74-aa114addd6051711541321146HERENOWBoysPrintedSportsShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28537996/2024/3/27/13964da3-c17b-4d34-af15-4247606000101711541321219HERENOWBoysPrintedSportsShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28537996/2024/3/27/f2fe9aa7-20ce-4fd3-b1c2-8d8d6cb1cabd1711541321120HERENOWBoysPrintedSportsShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28537996/2024/3/27/dbdd1a9e-7c7a-4087-b0b3-fc1c63c7bc241711541321194HERENOWBoysPrintedSportsShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28537996/2024/3/27/b8de6913-ef2a-4487-84c0-e40e4ff2953a1711541321171HERENOWBoysPrintedSportsShorts6.jpg']",6,['Very good product... Pure cotton stuff.. My son loved the degine on tshirt'],Home
HELLCAT,Boys Pack of 3 Trendy Typographic Printed Cotton Sports Shorts,http://myntra.com//shorts/hellcat/hellcat-boys-pack-of-3-trendy-typographic-printed-cotton-sports-shorts/22062324/buy,2997,599,83,3.9,"Product Details  Pack of 3 green, grey and blue solid mid-rise sports shorts, has a slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Solid Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062328/2023/2/22/fd7949dc-683c-4c3c-a1bf-76d89dc4be701677071776681HELLCATBoysBlackShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062328/2023/2/22/62df0563-29cc-48d2-baa6-4272dea13d5d1677071776651HELLCATBoysBlackShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062328/2023/2/22/50153b6d-48f9-45b1-9093-08f22b1fff471677071776636HELLCATBoysBlackShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062328/2023/2/22/2e5720d4-03e2-430e-a309-79909e77ff181677071776622HELLCATBoysBlackShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062328/2023/2/22/427c317f-c08f-4546-a8b6-d3ad37140f981677071776666HELLCATBoysBlackShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062328/2023/2/22/83135d46-582e-4414-a77d-8add938608d21677071776606HELLCATBoysBlackShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22062328/2023/2/22/d68a60fb-afa5-4d6f-a3bb-b909181b0f2f1677071776590HELLCATBoysBlackShorts7.jpg']",7,"['Good ? my son very happy ?', 'The fabric is a mic of cotton. And the width too', 'Poor quality\nNot worth']",Bodyglove Apparel India
H&M,Boys Printed Sweatshorts,http://myntra.com//shorts/h%26m/hm-boys-printed-sweatshorts/23517306/buy,,499,16,4.9,"Product Details  Knee-length shorts in lightweight sweatshirt fabric with an all-over print and an elasticated, drawstring waist. Material & Care 80% Cotton, 20% Polyester Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Graphic Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28528870/2024/3/27/44b2b196-c2de-4861-a344-0bb3c94d42191711523512662Printedsweatshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28528870/2024/3/27/4a3842f9-adb9-43ba-b5e0-16494862c47b1711523512671Printedsweatshorts2.jpg']",2,"['Very comfortable shorts for summer', 'Nice shorts']",H & M Hennes & Mauritz Retail Private Limited
HELLCAT,Boys Pack Of 2 Colourblocked Cotton Shorts,http://myntra.com//shorts/hellcat/hellcat-boys-pack-of-2-colourblocked-cotton-shorts/22319028/buy,2997,599,18,4.2,"Product Details  Pack of 3 maroon,navy blue,grey melange colourblocked mid-rise regular shorts, has slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Colourblocked Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319028/2023/3/15/6b3e5e12-502f-4437-b08b-0577251cb47d1678873601371HELLCATBoysMaroonColourblockedTechnologyShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319028/2023/3/15/185bbc1d-6c95-46af-bd5b-16625f0593331678873601384HELLCATBoysMaroonColourblockedTechnologyShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319028/2023/3/15/d445d8cc-bd00-4aee-884b-05ab57e5b99a1678873601398HELLCATBoysMaroonColourblockedTechnologyShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319028/2023/3/15/68f97419-aa9b-462b-bfbf-a5a9645f7a2c1678873601412HELLCATBoysMaroonColourblockedTechnologyShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319028/2023/3/15/d2916760-69f4-46b5-8ce9-599e178f0e931678873601426HELLCATBoysMaroonColourblockedTechnologyShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319028/2023/3/15/5e5e172e-944d-42f5-9d66-fa3176bcf3081678873601439HELLCATBoysMaroonColourblockedTechnologyShorts6.jpg']",6,"['Nice and well comfortable  and good fit', 'Good product', 'Good']",Bodyglove Apparel India
YK Disney,Boys Multicoloured Set Of 5 Disney Sports Shorts,http://myntra.com//shorts/yk+disney/yk-disney-boys-multicoloured-set-of-5-disney-sports-shorts/17782834/buy,1975,434,1,4.3,"Product Details  Multicoloured graphic solid mid-rise sports shorts,  has na pockets, slip-on closure Size & Fit Regular Fit  Material & Care Material - Cotton Blend, Gentle Machine Wash::Hand wash::Wash with like colors::Dry in shade::Do not dry clean::Do not bleach::Do not Iron on print/embroidery/embellishment Specifications Waist Rise Mid-Rise Length Above Knee Type Sports Shorts Closure Slip-On Print or Pattern Type Graphic Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782834/2023/12/30/4e366a7d-6476-480b-a1f5-0a86c3eeaf751703913657859-YK-Disney-Boys-Multicoloured-Set-Of-5-Disney-Sports-Shorts-7-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782834/2023/12/30/579d8d96-d72f-47c1-98a3-4bca48a5ad231703913657847-YK-Disney-Boys-Multicoloured-Set-Of-5-Disney-Sports-Shorts-7-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782834/2023/12/30/79266b21-2bf9-4c6b-83e7-5ea0a17256f71703913657836-YK-Disney-Boys-Multicoloured-Set-Of-5-Disney-Sports-Shorts-7-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782834/2023/12/30/f2a6d5ec-8225-4852-823e-23a8fa62142d1703913657824-YK-Disney-Boys-Multicoloured-Set-Of-5-Disney-Sports-Shorts-7-4.jpg']",4,"['Iam so happy ??? I just love it ??', ""Awesome it's been almost 2 years, no colour bleeding or stitch issue.\nVery comfortable and good quality"", 'Amazing colours and fitting is perfect. I love their clothes. Very reasonable as well']",Home
x2o,Boys Pack Of 3 Printed Mid-Rise Regular Shorts,http://myntra.com//shorts/yk+disney/yk-disney-boys-pack-of-5-mid-rise-printed-disney-shorts/22429620/buy,2299,551,16,4.1,"Product Details  Pack Of 3 Regular Shorts Navy blue , Green & Red printed mid-rise regular shorts, has 2 pockets, drawstring closure. Size & Fit Regular Fit  Material & Care Cotton  Machine wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Typography Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/6/30/3969094a-7f70-4b73-826a-3299cc3292e61625058838606-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/6/30/a5adaaa0-b405-4c1d-8e0a-dbd8c9cf0a0a1625058838618-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/6/30/3c9b5bc3-49f0-4746-8ec6-7aba10f681771625058838632-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/6/30/48e90837-aff6-42d3-a92e-7dd9ec51cb121625058838644-4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/6/30/d29c444d-395f-4d0c-b2a2-2cd1c020f7991625058838655-5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/6/30/c846681b-ee77-4a55-aba2-717235ad88de1625058838668-6.jpg']",6,"['Good product.. I ll be purchasing it again.. material is soft and good .. colour is also remained as it is .. I am sharing the pic after one wash', 'Size is too small for my 13yrs nephew even though he is slim, so size is the only issue, one has to be careful while selection of size.', 'Best fit,color fast even after several wash, comfortable fabric My son like it ? thank Myntra']",Plutus creations
x2o,Boys Pack of 3 Avengers Outdoor Shorts,http://myntra.com//shorts/yk+disney/yk-disney-boys-pack-of-5-disney-printed-shorts/22263158/buy,2299,597,38,4.5,"Product Details  Grey solid mid-rise outdoor regular shorts,  has 2 pockets, drawstring closure Material & Care Cotton  Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24370304/2023/8/7/321b1f34-6b40-4699-9faa-6e839528523a1691383790970x2oBoysGreyAvengersOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24370304/2023/8/7/387cf498-8c31-46a1-8573-8e98444973be1691383790993x2oBoysGreyAvengersOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24370304/2023/8/7/71b44307-1a94-4c29-afd0-2b3ab6f794c21691383790926x2oBoysGreyAvengersOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24370304/2023/8/7/b929f6db-9dfa-4ed9-bee9-ef4fc758bfc31691383790948x2oBoysGreyAvengersOutdoorShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24370304/2023/8/7/ceb143c3-cca6-4de2-b44d-1637e34eed1f1691383790854x2oBoysGreyAvengersOutdoorShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24370304/2023/8/7/09d7c3fb-b742-4b04-88cd-5995d79fb6dd1691383790903x2oBoysGreyAvengersOutdoorShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24370304/2023/8/7/f4623e98-d6f1-41f4-9b6a-8d597c353ca41691383790878x2oBoysGreyAvengersOutdoorShorts7.jpg']",7,"['Nice fit and comfortable', 'Quality and perfect size for my child he is super happy to wear a s very comfortable worth buying thanks myntra', 'Very comfortable and value for money']",Plutus creations
Rute,Boys Slim Fit Cotton Running Shorts,http://myntra.com//shorts/jack+%26+jones+junior/jack--jones-junior-boys-cotton-shorts/21362302/buy,1899,664,,,"Product Details  White solid mid-rise running sports shorts, has 2 pockets, drawstring closure Material & Care Cotton Hand wash Specifications Waist Rise Mid-Rise Length Knee Length Type Sports Shorts Closure Drawstring Print or Pattern Type Solid Fit Slim Fit Number of Pockets 2 Occasion Sports See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28387224/2024/3/20/63c05cfb-547e-447c-bbe6-ac8f568bedb41710926303017RuteBoysSlimFitRunningShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28387224/2024/3/20/e833534f-efe3-409c-9f9b-278131da26e01710926303043RuteBoysSlimFitRunningShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28387224/2024/3/20/3d2f8422-3317-497d-af58-a39ef5f60d0a1710926303083RuteBoysSlimFitRunningShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28387224/2024/3/20/abfde628-ffb5-400e-8598-b89e0d5808171710926303030RuteBoysSlimFitRunningShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28387224/2024/3/20/8ac059a6-2faf-48b9-9f91-1bd604bb41881710926303070RuteBoysSlimFitRunningShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28387224/2024/3/20/2cefe575-2b8d-4342-86ce-b22ae036cef51710926303058RuteBoysSlimFitRunningShorts6.jpg']",6,,Brands for you
